,Unnamed: 0,NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,"1011
Entries & Exits",Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
2136,2136,2771.0,SPT,Stockport,North West,Greater Manchester,Stockport,UKD3,Greater Manchester,Virgin Trains (West Coast),,Greater Manchester,," 347,011 "," 943,080 "," 374,323 "," 1,664,414 "," 347,011 "," 943,080 "," 374,323 "," 1,664,414 "," 3,328,828 "," 3,138,634 "," 881,012 ",0.0,0.0,,,,,,
2137,2137,7513.0,SKS,Stocksfield,North East,Northumberland,Tynedale,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,," 9,902 "," 10,685 "," 9,970 "," 30,557 "," 9,902 "," 10,685 "," 9,970 "," 30,557 "," 61,114 "," 62,224 ",  ,0.0,0.0,,,,,,
2138,2138,8451.0,SSM,Stocksmoor,Yorkshire And The Humber,West Yorkshire,Kirklees,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 3,534 "," 5,080 "," 4,631 "," 13,245 "," 3,534 "," 5,080 "," 4,631 "," 13,245 "," 26,490 "," 27,194 ",  ,0.0,0.0,,,,,,
2139,2139,7975.0,STK,Stockton,North East,Stockton-On-Tees,Stockton-On-Tees,UKC1,Tees Valley and Durham,Northern Rail,,,," 20,109 "," 8,039 "," 6,682 "," 34,830 "," 20,109 "," 8,039 "," 6,682 "," 34,830 "," 69,660 "," 66,578 ", 179 ,0.0,0.0,,,,,,
2140,2140,1467.0,SKM,Stoke Mandeville,South East,Buckinghamshire,Aylesbury Vale,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",Chiltern Railways,,,," 33,523 "," 30,457 "," 83,474 "," 147,454 "," 33,523 "," 30,457 "," 83,474 "," 147,454 "," 294,908 "," 292,478 ",  ,0.0,0.0,,,,,,
2141,2141,6934.0,SKW,Stoke Newington,London,Greater London,Hackney,UKI1,Inner London,National Express East Anglia,,,London Travelcard Area Station," 90,804 "," 131,340 "," 188,797 "," 410,941 "," 90,804 "," 131,340 "," 188,797 "," 410,941 "," 821,882 "," 686,352 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
2142,2142,1314.0,SOT,Stoke-On-Trent,West Midlands,Stoke-On-Trent,Stoke-On-Trent,UKG2,Shropshire and Staffordshire,Virgin Trains (West Coast),,,," 403,832 "," 675,800 "," 145,938 "," 1,225,570 "," 403,832 "," 675,800 "," 145,938 "," 1,225,570 "," 2,451,140 "," 2,283,038 "," 176,686 ",0.0,0.0,,,,,,
2144,2144,5248.0,SCG,Stone Crossing,South East,Kent,Dartford,UKJ4,Kent,Southeastern,,,," 17,241 "," 20,735 "," 47,921 "," 85,897 "," 17,241 "," 20,735 "," 47,921 "," 85,897 "," 171,794 "," 138,502 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
2145,2145,1454.0,SBP,Stonebridge Park,London,Greater London,Brent,UKI2,Outer London,London Underground,,,London Travelcard Area Station," 83,166 "," 117,713 "," 249,412 "," 450,291 "," 83,166 "," 117,713 "," 249,412 "," 450,291 "," 900,582 "," 734,108 ",  ,1.0,0.0,Ramp-up of demand on London Overground services,,,,,
2146,2146,5240.0,SOG,Stonegate,South East,East Sussex,Rother,UKJ2,"Surrey, East & West Sussex",Southeastern,,,," 10,938 "," 25,056 "," 36,848 "," 72,842 "," 10,938 "," 25,056 "," 36,848 "," 72,842 "," 145,684 "," 153,382 ",  ,0.0,0.0,,,,,,
2147,2147,8964.0,STN,Stonehaven,Scotland,Aberdeenshire,Aberdeenshire,UKM1,North Eastern Scotland,First ScotRail,,,," 79,919 "," 104,879 "," 66,608 "," 251,406 "," 79,919 "," 104,879 "," 66,608 "," 251,406 "," 502,812 "," 482,722 ",  ,0.0,0.0,,,,,,
2148,2148,4770.0,SHU,Stonehouse,South West,Gloucestershire,Stroud,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,,,," 10,297 "," 45,614 "," 12,641 "," 68,552 "," 10,297 "," 45,614 "," 12,641 "," 68,552 "," 137,104 "," 129,498 ",  ,0.0,0.0,,,,,,
2149,2149,5606.0,SNL,Stoneleigh,South East,Surrey,Epsom And Ewell,UKJ2,"Surrey, East & West Sussex",South West Trains,,,London Travelcard Area Station," 117,322 "," 130,226 "," 334,737 "," 582,285 "," 117,322 "," 130,226 "," 334,737 "," 582,285 "," 1,164,570 "," 1,168,672 ",  ,0.0,0.0,,,,,,
2150,2150,4646.0,SBJ,Stourbridge Junction,West Midlands,West Midlands,Dudley,UKG3,West Midlands,London Midland Trains,,West Midlands,," 89,869 "," 233,196 "," 251,638 "," 574,703 "," 89,869 "," 233,196 "," 251,638 "," 574,703 "," 1,149,406 "," 1,206,996 "," 405,911 ",0.0,0.0,,,,,,
2151,2151,4643.0,SBT,Stourbridge Town,West Midlands,West Midlands,Dudley,UKG3,West Midlands,London Midland Trains,,West Midlands,," 38,105 "," 85,409 "," 112,097 "," 235,611 "," 38,105 "," 85,409 "," 112,097 "," 235,611 "," 471,222 "," 592,838 ",  ,1.0,0.0,"Decrease due to improved demand estimation in Centro area (146,000 less journeys in Centro infill compared to what would have been estimated using previous methodology).",,,,,
2152,2152,7355.0,SMK,Stowmarket,East,Suffolk,Mid Suffolk,UKH1,East Anglia,National Express East Anglia,,,," 112,437 "," 154,742 "," 175,302 "," 442,481 "," 112,437 "," 154,742 "," 175,302 "," 442,481 "," 884,962 "," 855,692 "," 36,434 ",0.0,0.0,,,,,,
2153,2153,9555.0,STR,Stranraer,Scotland,Dumfries And Galloway,Dumfries And Galloway,UKM3,South Western Scotland,First ScotRail,,,," 7,386 "," 15,308 ", -   ," 22,694 "," 7,386 "," 15,308 ", -   ," 22,694 "," 45,388 "," 57,276 ",  ,1.0,0.0,Decrease due to cessation of ferry services at Straraer,http://www.bbc.co.uk/news/uk-scotland-south-scotland-16467160,,,,
2155,2155,7222.0,SFA,Stratford International,London,Greater London,Newham,UKI1,Inner London,Southeastern,,,London Travelcard Area Station," 67,228 "," 119,490 "," 119,170 "," 305,888 "," 67,228 "," 119,490 "," 119,170 "," 305,888 "," 611,776 "," 407,497 "," 3,852 ",1.0,0.0,Likely partially due  to continued demand ramp-up from HS1 service introduction,,,,,
2156,2156,4558.0,SAV,Stratford-Upon-Avon,West Midlands,Warwickshire,Stratford-On-Avon,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,West Midlands,," 63,453 "," 206,474 "," 158,280 "," 428,207 "," 63,453 "," 206,474 "," 158,280 "," 428,207 "," 856,414 "," 631,196 ", 844 ,1.0,0.0,"Main portion of increase due to improved demand estimation in Centro area (extra 151,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
2157,2157,8673.0,STC,Strathcarron,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 4,321 "," 1,184 ", -   ," 5,505 "," 4,321 "," 1,184 ", -   ," 5,505 "," 11,010 "," 8,122 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
2158,2158,5607.0,STW,Strawberry Hill,London,Greater London,Richmond Upon Thames,UKI2,Outer London,South West Trains,,,London Travelcard Area Station," 130,626 "," 119,901 "," 263,453 "," 513,980 "," 130,626 "," 119,901 "," 263,453 "," 513,980 "," 1,027,960 "," 989,116 ", 21 ,0.0,0.0,,,,,,
2160,2160,5384.0,SRC,Streatham Common,London,Greater London,Lambeth,UKI1,Inner London,Southern,,,London Travelcard Area Station," 287,409 "," 396,539 "," 1,122,334 "," 1,806,282 "," 287,409 "," 396,539 "," 1,122,334 "," 1,806,282 "," 3,612,564 "," 3,346,078 "," 191,538 ",0.0,0.0,,,,,,
2161,2161,5435.0,SRH,Streatham Hill,London,Greater London,Lambeth,UKI1,Inner London,Southern,,,London Travelcard Area Station," 258,138 "," 311,615 "," 772,500 "," 1,342,253 "," 258,138 "," 311,615 "," 772,500 "," 1,342,253 "," 2,684,506 "," 2,322,980 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
2162,2162,8543.0,SHC,Streethouse,Yorkshire And The Humber,West Yorkshire,Wakefield,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 5,978 "," 6,515 "," 2,062 "," 14,555 "," 5,978 "," 6,515 "," 2,062 "," 14,555 "," 29,110 "," 30,938 ",  ,0.0,0.0,,,,,,
2163,2163,2834.0,SRN,Strines,North West,Greater Manchester,Stockport,UKD3,Greater Manchester,Northern Rail,,,," 1,130 "," 2,918 "," 1,797 "," 5,845 "," 1,130 "," 2,918 "," 1,797 "," 5,845 "," 11,690 "," 10,604 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
2164,2164,8674.0,STF,Stromeferry,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,, 945 , 164 , -   ," 1,109 ", 945 , 164 , -   ," 1,109 "," 2,218 "," 1,438 ",  ,0.0,1.0,Continues high growth from previous year,,,,,
2167,2167,5029.0,STU,Sturry,South East,Kent,Canterbury,UKJ4,Kent,Southeastern,,,," 6,659 "," 11,086 "," 12,761 "," 30,506 "," 6,659 "," 11,086 "," 12,761 "," 30,506 "," 61,012 "," 61,440 ",  ,0.0,0.0,,,,,,
2168,2168,2868.0,SYA,Styal,North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,, 498 , 744 , 153 ," 1,395 ", 498 , 744 , 153 ," 1,395 "," 2,790 "," 2,440 ",  ,0.0,0.0,,,,,,
2171,2171,1484.0,SDH,Sudbury Hill Harrow,London,Greater London,Harrow,UKI2,Outer London,Chiltern Railways,,,London Travelcard Area Station," 9,073 "," 5,192 "," 10,228 "," 24,493 "," 9,073 "," 5,192 "," 10,228 "," 24,493 "," 48,986 "," 47,028 ",  ,0.0,0.0,,,,,,
2172,2172,4157.0,SUG,Sugar Loaf,Wales - Cymru,Powys - Powys,Powys - Powys,UKL2,East Wales,Arriva Trains Wales,,,, 48 , 12 , -   , 60 , 48 , 12 , -   , 60 , 120 , 84 ,  ,0.0,1.0,Very small absolute number of entries and exits,,,,,
2173,2173,9959.0,SUM,Summerston,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 24,306 "," 31,008 "," 14,960 "," 70,274 "," 24,306 "," 31,008 "," 14,960 "," 70,274 "," 140,548 "," 116,556 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
2174,2174,5608.0,SUU,Sunbury,South East,Surrey,Spelthorne,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 50,539 "," 56,231 "," 96,252 "," 203,022 "," 50,539 "," 56,231 "," 96,252 "," 203,022 "," 406,044 "," 399,816 ",  ,0.0,0.0,,,,,,
2175,2175,7640.0,SUN,Sunderland,North East,Tyne And Wear,Sunderland,UKC2,Northumberland and Tyne and Wear,Northern Rail,,Tyne & Wear,," 95,525 "," 158,875 "," 122,455 "," 376,855 "," 95,525 "," 158,875 "," 122,455 "," 376,855 "," 753,710 "," 729,962 "," 3,011 ",0.0,0.0,,,,,,
2176,2176,5155.0,SUP,Sundridge Park,London,Greater London,Bromley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 33,808 "," 25,922 "," 82,300 "," 142,030 "," 33,808 "," 25,922 "," 82,300 "," 142,030 "," 284,060 "," 311,670 ",  ,0.0,0.0,,,,,,
2177,2177,5671.0,SNG,Sunningdale,South East,Windsor And Maidenhead,Windsor And Maidenhead,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",South West Trains,,,," 121,792 "," 120,391 "," 99,733 "," 341,916 "," 121,792 "," 120,391 "," 99,733 "," 341,916 "," 683,832 "," 694,750 ",  ,0.0,0.0,,,,,,
2178,2178,5675.0,SNY,Sunnymeads,South East,Windsor And Maidenhead,Windsor And Maidenhead,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",South West Trains,,,," 6,238 "," 6,446 "," 5,643 "," 18,327 "," 6,238 "," 6,446 "," 5,643 "," 18,327 "," 36,654 "," 31,418 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
2179,2179,5571.0,SUR,Surbiton,London,Greater London,Kingston Upon Thames,UKI2,Outer London,South West Trains,,,London Travelcard Area Station," 841,145 "," 1,278,705 "," 2,190,146 "," 4,309,996 "," 841,145 "," 1,278,705 "," 2,190,146 "," 4,309,996 "," 8,619,992 "," 8,340,356 "," 845,981 ",0.0,0.0,,,,,,
2182,2182,1044.0,SUT,Sutton Coldfield,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,," 126,763 "," 221,148 "," 342,436 "," 690,347 "," 126,763 "," 221,148 "," 342,436 "," 690,347 "," 1,380,694 "," 1,184,526 ",  ,1.0,0.0,"Main portion of increase due to improved demand estimation in Centro area (extra 195,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
2183,2183,5436.0,SUC,Sutton Common,London,Greater London,Sutton,UKI2,Outer London,First Capital Connect,,,London Travelcard Area Station," 39,621 "," 27,674 "," 84,470 "," 151,765 "," 39,621 "," 27,674 "," 84,470 "," 151,765 "," 303,530 "," 272,680 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
2184,2184,1861.0,SPK,Sutton Parkway,East Midlands,Nottinghamshire,Ashfield,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,," 28,695 "," 25,412 "," 16,109 "," 70,216 "," 28,695 "," 25,412 "," 16,109 "," 70,216 "," 140,432 "," 128,554 ",  ,0.0,0.0,,,,,,
2185,2185,5249.0,SWL,Swale,South East,Kent,Swale,UKJ4,Kent,Southeastern,,,, 836 , 503 ," 1,659 "," 2,998 ", 836 , 503 ," 1,659 "," 2,998 "," 5,996 "," 4,068 ",  ,0.0,1.0,Continues high growth from previous year,,,,,
2186,2186,5075.0,SAY,Swanley,South East,Kent,Sevenoaks,UKJ4,Kent,Southeastern,,,," 108,045 "," 195,024 "," 302,409 "," 605,478 "," 108,045 "," 195,024 "," 302,409 "," 605,478 "," 1,210,956 "," 1,202,542 "," 132,041 ",0.0,0.0,,,,,,
2187,2187,5156.0,SWM,Swanscombe,South East,Kent,Dartford,UKJ4,Kent,Southeastern,,,," 13,477 "," 18,825 "," 39,832 "," 72,134 "," 13,477 "," 18,825 "," 39,832 "," 72,134 "," 144,268 "," 139,790 ",  ,0.0,0.0,,,,,,
2188,2188,4222.0,SWA,Swansea,Wales - Cymru,Swansea - Abertawe,Swansea - Abertawe,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 399,212 "," 519,287 "," 155,677 "," 1,074,176 "," 399,212 "," 519,287 "," 155,677 "," 1,074,176 "," 2,148,352 "," 2,155,906 "," 106,676 ",0.0,0.0,,,,,,
2189,2189,5920.0,SNW,Swanwick,South East,Hampshire,Fareham,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 101,636 "," 87,964 "," 119,651 "," 309,251 "," 101,636 "," 87,964 "," 119,651 "," 309,251 "," 618,502 "," 581,456 ",  ,0.0,0.0,,,,,,
2190,2190,5884.0,SWY,Sway,South East,Hampshire,New Forest,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 16,468 "," 19,598 "," 17,671 "," 53,737 "," 16,468 "," 19,598 "," 17,671 "," 53,737 "," 107,474 "," 108,946 ",  ,0.0,0.0,,,,,,
2191,2191,5933.0,SWG,Swaythling,South East,Southampton,Southampton,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 16,692 "," 15,137 "," 20,044 "," 51,873 "," 16,692 "," 15,137 "," 20,044 "," 51,873 "," 103,746 "," 89,816 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
2192,2192,6355.0,SWD,Swinderby,East Midlands,Lincolnshire,North Kesteven,UKF3,Lincolnshire,East Midlands Trains,,,," 3,080 ", 392 ," 4,935 "," 8,407 "," 3,080 ", 392 ," 4,935 "," 8,407 "," 16,814 "," 11,544 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
2194,2194,6228.0,SWE,Swineshead,East Midlands,Lincolnshire,Boston,UKF3,Lincolnshire,East Midlands Trains,,,, 763 , 37 , 330 ," 1,130 ", 763 , 37 , 330 ," 1,130 "," 2,260 "," 2,378 ",  ,0.0,0.0,,,,,,
2198,2198,5085.0,SYH,Sydenham Hill,London,Greater London,Southwark,UKI1,Inner London,Southeastern,,,London Travelcard Area Station," 55,689 "," 59,468 "," 170,211 "," 285,368 "," 55,689 "," 59,468 "," 170,211 "," 285,368 "," 570,736 "," 574,176 ",  ,0.0,0.0,,,,,,
2199,2199,5609.0,SYL,Syon Lane,London,Greater London,Hounslow,UKI2,Outer London,South West Trains,,,London Travelcard Area Station," 140,203 "," 81,801 "," 230,617 "," 452,621 "," 140,203 "," 81,801 "," 230,617 "," 452,621 "," 905,242 "," 818,954 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
2200,2200,1900.0,SYS,Syston,East Midlands,Leicestershire,Charnwood,UKF2,"Leicestershire, Rutland and Northamptonshire",East Midlands Trains,,,," 32,431 "," 31,931 "," 29,239 "," 93,601 "," 32,431 "," 31,931 "," 29,239 "," 93,601 "," 187,202 "," 182,532 ",  ,0.0,0.0,,,,,,
2201,2201,3195.0,TAC,Tackley,South East,Oxfordshire,West Oxfordshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,," 2,259 "," 5,798 "," 9,130 "," 17,187 "," 2,259 "," 5,798 "," 9,130 "," 17,187 "," 34,374 "," 20,896 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
2202,2202,5386.0,TAD,Tadworth,South East,Surrey,Reigate And Banstead,UKJ2,"Surrey, East & West Sussex",Southern,,,London Travelcard Area Station," 36,098 "," 33,837 "," 62,483 "," 132,418 "," 36,098 "," 33,837 "," 62,483 "," 132,418 "," 264,836 "," 247,420 ",  ,0.0,0.0,,,,,,
2203,2203,3880.0,TAF,Taffs Well,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 96,655 "," 4,124 "," 55,050 "," 155,829 "," 96,655 "," 4,124 "," 55,050 "," 155,829 "," 311,658 "," 309,028 ",  ,0.0,0.0,,,,,,
2204,2204,8676.0,TAI,Tain,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 10,669 "," 4,158 "," 1,992 "," 16,819 "," 10,669 "," 4,158 "," 1,992 "," 16,819 "," 33,638 "," 26,944 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
2207,2207,2463.0,TLC,Tal-y-Cafn,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,, 453 , 225 , -   , 678 , 453 , 225 , -   , 678 ," 1,356 ", 988 ,  ,0.0,1.0,Very small absolute number of entries and exits,,,,,
2205,2205,4479.0,TAL,Talsarnau,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 4,111 "," 1,105 ", 818 ," 6,034 "," 4,111 "," 1,105 ", 818 ," 6,034 "," 12,068 "," 9,742 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
2206,2206,4355.0,TLB,Talybont,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 6,597 "," 3,042 ", 347 ," 9,986 "," 6,597 "," 3,042 ", 347 ," 9,986 "," 19,972 "," 21,406 ",  ,0.0,0.0,,,,,,
2208,2208,1010.0,TAB,Tame Bridge Parkway,West Midlands,West Midlands,Sandwell,UKG3,West Midlands,London Midland Trains,,West Midlands,," 44,434 "," 95,757 "," 105,772 "," 245,963 "," 44,434 "," 95,757 "," 105,772 "," 245,963 "," 491,926 "," 382,120 ",  ,1.0,0.0,"Main portion of increase due to improved demand estimation in Centro area (extra 98,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
2210,2210,3151.0,TAP,Taplow,South East,Buckinghamshire,South Bucks,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,," 31,682 "," 40,302 "," 43,040 "," 115,024 "," 31,682 "," 40,302 "," 43,040 "," 115,024 "," 230,048 "," 212,420 ",  ,0.0,0.0,,,,,,
2211,2211,5387.0,TAT,Tattenham Corner,South East,Surrey,Reigate And Banstead,UKJ2,"Surrey, East & West Sussex",Southern,,,London Travelcard Area Station," 37,390 "," 31,241 "," 70,715 "," 139,346 "," 37,390 "," 31,241 "," 70,715 "," 139,346 "," 278,692 "," 244,492 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
2212,2212,3471.0,TAU,Taunton,South West,Somerset,Taunton Deane,UKK2,Dorset and Somerset,First Great Western,,,," 120,033 "," 464,865 "," 61,588 "," 646,486 "," 120,033 "," 464,865 "," 61,588 "," 646,486 "," 1,292,972 "," 1,238,006 "," 80,362 ",0.0,0.0,,,,,,
2213,2213,8727.0,TAY,Taynuilt,Scotland,Argyll And Bute,Argyll And Bute,UKM4,Highlands and Islands,First ScotRail,,,," 5,078 ", 892 , -   ," 5,970 "," 5,078 ", 892 , -   ," 5,970 "," 11,940 "," 11,802 ",  ,0.0,0.0,,,,,,
2214,2214,5572.0,TED,Teddington,London,Greater London,Richmond Upon Thames,UKI2,Outer London,South West Trains,,,London Travelcard Area Station," 280,400 "," 311,811 "," 593,914 "," 1,186,125 "," 280,400 "," 311,811 "," 593,914 "," 1,186,125 "," 2,372,250 "," 2,301,530 "," 131,809 ",0.0,0.0,,,,,,
2216,2216,3430.0,TGM,Teignmouth,South West,Devon,Teignbridge,UKK4,Devon,First Great Western,,,," 34,801 "," 195,425 "," 52,948 "," 283,174 "," 34,801 "," 195,425 "," 52,948 "," 283,174 "," 566,348 "," 505,046 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
2217,2217,4691.0,TFC,Telford Central,West Midlands,Telford And Wrekin,Telford And Wrekin,UKG2,Shropshire and Staffordshire,London Midland Trains,,West Midlands,," 147,372 "," 244,742 "," 124,702 "," 516,816 "," 147,372 "," 244,742 "," 124,702 "," 516,816 "," 1,033,632 "," 991,916 "," 6,399 ",0.0,0.0,,,,,,
2218,2218,5837.0,TMC,Templecombe,South West,Somerset,South Somerset,UKK2,Dorset and Somerset,South West Trains,,,," 11,862 "," 29,851 "," 14,466 "," 56,179 "," 11,862 "," 29,851 "," 14,466 "," 56,179 "," 112,358 "," 106,556 ",  ,0.0,0.0,,,,,,
2219,2219,4110.0,TEN,Tenby,Wales - Cymru,Pembrokeshire - Sir Benfro,Pembrokeshire - Sir Benfro,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 35,037 "," 20,749 ", 366 ," 56,152 "," 35,037 "," 20,749 ", 366 ," 56,152 "," 112,304 "," 105,482 ",  ,0.0,0.0,,,,,,
2220,2220,5193.0,TEY,Teynham,South East,Kent,Swale,UKJ4,Kent,Southeastern,,,," 11,250 "," 17,318 "," 31,904 "," 60,472 "," 11,250 "," 17,318 "," 31,904 "," 60,472 "," 120,944 "," 133,592 ",  ,0.0,0.0,,,,,,
2221,2221,5610.0,THD,Thames Ditton,South East,Surrey,Elmbridge,UKJ2,"Surrey, East & West Sussex",South West Trains,,,London Travelcard Area Station," 95,102 "," 94,158 "," 232,961 "," 422,221 "," 95,102 "," 94,158 "," 232,961 "," 422,221 "," 844,442 "," 821,884 ",  ,0.0,0.0,,,,,,
2222,2222,3152.0,THA,Thatcham,South East,West Berkshire,West Berkshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,," 47,880 "," 91,817 "," 110,436 "," 250,133 "," 47,880 "," 91,817 "," 110,436 "," 250,133 "," 500,266 "," 505,342 ",  ,0.0,0.0,,,,,,
2223,2223,2264.0,THH,Thatto Heath,North West,Merseyside,St. Helens,UKD5,Merseyside,Northern Rail,,Merseyside,," 25,682 "," 48,092 "," 7,057 "," 80,831 "," 25,682 "," 48,092 "," 7,057 "," 80,831 "," 161,662 "," 162,726 ",  ,0.0,0.0,,,,,,
2224,2224,4523.0,THW,The Hawthorns,West Midlands,West Midlands,Sandwell,UKG3,West Midlands,London Midland Trains,,West Midlands,," 37,555 "," 84,396 "," 71,583 "," 193,534 "," 37,555 "," 84,396 "," 71,583 "," 193,534 "," 387,068 "," 327,338 ",  ,1.0,0.0,"Partially due to improved demand estimation in Centro area (extra 26,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
2226,2226,3153.0,THE,Theale,South East,West Berkshire,West Berkshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,," 65,926 "," 62,340 "," 94,098 "," 222,364 "," 65,926 "," 62,340 "," 94,098 "," 222,364 "," 444,728 "," 444,676 ",  ,0.0,0.0,,,,,,
2227,2227,6949.0,TEO,Theobalds Grove,East,Hertfordshire,Broxbourne,UKH2,Bedfordshire and Hertforshire,National Express East Anglia,,,," 21,982 "," 23,761 "," 62,909 "," 108,652 "," 21,982 "," 23,761 "," 62,909 "," 108,652 "," 217,304 "," 214,296 ",  ,0.0,0.0,,,,,,
2228,2228,7203.0,TTF,Thetford,East,Norfolk,Breckland,UKH1,East Anglia,National Express East Anglia,,,," 35,352 "," 76,423 "," 17,480 "," 129,255 "," 35,352 "," 76,423 "," 17,480 "," 129,255 "," 258,510 "," 242,756 ", 25 ,0.0,0.0,,,,,,
2229,2229,8191.0,THI,Thirsk,Yorkshire And The Humber,North Yorkshire,Hambleton,UKE2,North Yorkshire,First TransPennine Express,,,," 29,119 "," 52,503 "," 12,887 "," 94,509 "," 29,119 "," 52,503 "," 12,887 "," 94,509 "," 189,018 "," 189,288 ",  ,0.0,0.0,,,,,,
2230,2230,7976.0,TBY,Thornaby,North East,Stockton-On-Tees,Stockton-On-Tees,UKC1,Tees Valley and Durham,First TransPennine Express,,,," 128,944 "," 94,910 "," 63,396 "," 287,250 "," 128,944 "," 94,910 "," 63,396 "," 287,250 "," 574,500 "," 569,218 "," 61,120 ",0.0,0.0,,,,,,
2231,2231,6530.0,TNN,Thorne North,Yorkshire And The Humber,South Yorkshire,Doncaster,UKE3,South Yorkshire,Northern Rail,THORNE BR,South Yorkshire,," 25,715 "," 28,030 "," 27,629 "," 81,374 "," 25,715 "," 28,030 "," 27,629 "," 81,374 "," 162,748 "," 151,028 ", 561 ,0.0,0.0,,,,,,
2232,2232,6531.0,TNS,Thorne South,Yorkshire And The Humber,South Yorkshire,Doncaster,UKE3,South Yorkshire,Northern Rail,THORNE BR,South Yorkshire,," 19,184 "," 28,193 "," 22,854 "," 70,231 "," 19,184 "," 28,193 "," 22,854 "," 70,231 "," 140,462 "," 130,646 ",  ,0.0,0.0,,,,,,
2233,2233,5849.0,THO,Thornford,South West,Dorset,West Dorset,UKK2,Dorset and Somerset,First Great Western,,,, 588 , 828 , -   ," 1,416 ", 588 , 828 , -   ," 1,416 "," 2,832 "," 2,838 ", 174 ,0.0,0.0,,,,,,
2234,2234,9812.0,THB,Thornliebank,Scotland,East Renfrewshire,East Renfrewshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 33,068 "," 28,364 "," 41,965 "," 103,397 "," 33,068 "," 28,364 "," 41,965 "," 103,397 "," 206,794 "," 184,050 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
